,,,Sample,Dye Color,Dye/Sample Peak,Sample File Name,Size,Height,Area in Point,Area in BP,Date Point,Begin Point,Begin BP,End Point,End BP,Width in Point,Width in BP,,,
,,,,R,"R, 36",STR_G5_run400551_A05_33.fsa,294.8704,41420,282417,23736,4157,4148,294.1142,4182,296.9718,6,0.5162,,R,#VALUE!
,,,,Y,"Y, 33",STR_G5_run400551_C02_11.fsa,498.1601,32731,285541,25050,6517,6507,497.2821,6529,499.2121,7,0.6802,,Y,
,,,,G,"G, 21",STR_G5_run400551_A05_33.fsa,293.6102,32632,227060,19072,4142,4133,292.8543,4150,294.2823,6,0.532,,G,
,,,,B,"B, 21",STR_G5_run400551_C02_11.fsa,495.0815,32505,319456,28156,6482,6473,494.2874,6497,496.4028,9,0.7993,,B,
,,,,B,"B, 15",STR_G5_run400551_B02_10.fsa,495.262,29442,244594,21517,6530,6518,494.2057,6543,496.405,7,0.6743,,B,
,,,,B,"B, 16",STR_G5_run400551_F03_22.fsa,495.2284,29442,250065,22166,6460,6448,494.1638,6474,496.4685,7,0.6992,,B,
,,,,R,"R, 43",STR_G5_run400551_E10_77.fsa,294.7846,26834,196344,16501,4136,4127,294.0285,4156,296.4657,6,0.5565,,R,
,,,,B,"B, 12",STR_G5_run400551_D03_20.fsa,495.2752,26725,227834,20377,6406,6394,494.2011,6418,496.3477,7,0.7093,,B,
